Wavelength,IR,Red,Orange,Yellow,Green,Blue,Pink,UV
373.283,151.42,-17.26,164.74,83.85,13.32,-17.26,109.5,270.29
373.5,66.59,-52.78,-48.34,8.88,-18.25,2.47,10.85,149.94
373.716,338.85,65.6,502.11,397.55,31.07,51.79,190.39,327.51
373.933,70.53,83.36,127.25,263.39,-28.11,93.22,60.17,248.59
374.149,60.67,-52.78,68.07,-99.63,74.48,4.44,68.07,246.62
374.366,147.48,114.92,219.98,281.14,-16.28,18.25,172.63,256.48
374.582,484.85,73.49,397.55,626.41,27.13,-11.34,202.23,384.72
374.799,64.61,-1.48,52.28,127.25,-2.47,69.55,101.61,284.1
375.015,88.29,67.57,46.36,95.69,3.45,41.92,-10.85,232.81
375.232,275.72,109,296.93,91.74,74.48,93.22,115.42,331.45
375.448,252.04,114.92,287.06,462.65,13.32,-15.29,89.77,343.29
375.664,58.69,34.03,40.45,190.39,-20.22,105.06,75.96,412.34
375.881,293.47,91.25,438.98,748.73,-16.28,10.36,168.69,424.18
376.097,459.2,264.87,480.41,283.12,7.4,47.84,119.36,410.37
376.313,664.39,268.81,699.41,683.62,38.97,6.41,269.31,499.15
376.53,-2.47,4.44,-89.77,-89.77,-16.28,-27.13,20.72,465.61
376.746,216.53,132.68,223.93,369.93,3.45,67.57,36.5,544.53
376.962,84.34,47.84,146.98,322.57,25.15,16.28,103.58,526.77
377.179,-30.09,43.9,-40.45,30.58,-41.92,-31.07,6.91,562.29
377.395,372.39,101.11,450.82,971.67,92.23,45.87,117.39,607.66
377.611,358.58,122.82,442.92,261.41,5.43,69.55,127.25,660.93
377.827,74.48,32.06,24.66,62.15,-4.44,-52.78,24.66,660.93
378.044,287.56,61.65,348.22,425.17,17.26,47.84,125.28,728.01
378.26,64.61,28.11,14.8,208.14,-24.17,-7.4,97.66,702.37
378.476,167.21,71.52,255.5,156.85,11.34,112.95,14.8,850.34
378.692,23.18,-70.53,26.63,184.47,-39.95,53.76,109.5,870.06
378.908,220.48,65.6,267.33,54.26,15.29,47.84,105.55,897.69
379.125,358.58,138.6,267.33,476.46,40.94,134.65,137.12,966.74
379.341,179.04,20.22,77.93,186.44,-53.76,83.36,83.85,905.58
379.557,60.67,-25.15,12.82,-103.58,54.75,-50.8,-24.66,1008.17
379.773,186.94,120.84,312.71,332.44,21.21,30.09,125.28,1164.03
379.989,384.23,37.98,302.85,413.33,56.72,-11.34,225.9,1185.73
380.205,504.58,158.33,508.03,340.33,72.51,32.06,166.71,1373.16
380.421,137.61,36.01,105.55,4.93,33.05,61.65,44.39,1319.89
380.637,23.18,-23.18,-81.88,-32.55,21.21,10.36,10.85,1351.46
380.853,-47.84,-13.32,-93.71,70.04,-28.11,22.2,-64.12,1523.11
381.069,334.91,47.84,340.33,40.45,-10.36,112.95,166.71,1511.27
381.285,-41.92,-13.32,-81.88,-190.39,-30.09,-70.53,18.74,1635.56
381.501,-28.11,39.95,-30.58,-66.09,-10.36,-60.67,-22.69,1779.59
381.717,257.96,65.6,225.9,448.84,-8.38,-7.4,154.88,1815.1
381.933,400.01,81.38,472.52,527.76,50.8,49.82,133.17,1955.18
382.149,224.42,81.38,338.36,326.52,15.29,43.9,93.71,2000.56
