Wavelength,IR,Red,Orange,Yellow,Green,Blue,Pink,UV
384.74,27.13,-19.4,57.71,71.68,10.52,15.95,14.47,1773.83
384.955,-18.25,-1.64,20.22,24.33,10.52,21.87,-32.88,1760.02
385.171,52.78,-7.56,24.17,-19.07,44.06,-53.1,40.12,1955.34
385.387,46.86,59.52,34.03,2.63,4.6,53.43,44.06,1951.4
385.603,11.34,4.27,39.95,42.09,32.22,69.22,-36.83,2150.66
385.818,-28.11,0.33,91.25,107.2,-26.96,98.81,-15.13,2280.88
386.034,62.64,29.92,81.38,-15.13,20.39,41.6,55.9,2444.63
386.25,-71.52,-72.67,71.52,34.2,14.47,79.08,-9.21,2418.98
386.465,1.48,71.35,55.74,57.87,105.22,-21.54,63.79,2697.17
386.681,-24.17,-15.45,-38.97,38.14,40.12,25.81,46.04,2782
386.897,-47.84,29.92,-36.99,69.71,49.98,-124.13,-56.56,2993.11
387.112,-61.65,14.14,63.63,-46.69,53.93,-35.35,-72.34,3101.62
387.328,-6.41,41.76,4.44,6.58,65.76,39.62,44.06,3346.26
387.543,33.05,2.3,-27.13,73.66,28.28,102.76,22.36,3484.37
387.759,60.67,57.54,-98.15,91.41,12.5,98.81,12.5,3693.5
387.975,111.96,-5.59,16.28,4.6,44.06,71.19,20.39,3916.44
388.19,131.69,-25.32,20.22,-3.29,6.58,65.27,-30.91,4224.22
388.406,33.05,20.06,45.87,51.95,-90.1,-19.56,63.79,4468.86
388.621,-30.09,-54.91,34.03,97.33,30.25,71.19,32.22,4624.73
388.837,31.07,47.68,34.03,-32.88,-48.67,92.89,36.17,5143.61
389.052,-37.98,59.52,67.57,34.2,34.2,55.41,4.6,5187.01
389.268,-28.11,-25.32,-17.26,34.2,49.98,19.89,-13.15,5699.98
389.483,52.78,4.27,6.41,-32.88,46.04,10.03,26.31,6074.83
389.699,1.48,29.92,12.33,-13.15,85.49,4.11,-28.94,6733.79
389.914,-30.09,-17.43,-3.45,32.22,-5.26,81.05,55.9,6992.25
390.129,5.43,-3.62,37.98,81.55,0.66,-23.51,55.9,7550.59
390.345,78.42,-9.54,10.36,-5.26,12.5,-1.81,-1.32,7818.91
390.56,7.4,27.95,97.17,40.12,93.39,-15.62,10.52,8037.9
390.776,33.05,85.17,-9.37,18.41,22.36,-45.21,-17.1,8450.25
390.991,52.78,-25.32,-56.72,16.44,55.9,55.41,22.36,8872.46
391.206,137.61,-19.4,-5.43,46.04,79.58,-7.73,42.09,9466.31
391.422,33.05,-45.05,-66.59,-64.45,-13.15,-64.94,36.17,10204.19
391.637,72.51,12.17,36.01,-26.96,49.98,59.35,42.09,10973.63
391.852,96.18,33.87,30.09,34.2,73.66,0.16,-19.07,10989.42
392.068,31.07,29.92,-36.99,32.22,44.06,-43.24,-7.23,11725.32
392.283,54.75,8.22,-7.4,-58.53,24.33,-11.67,26.31,12544.09
392.498,76.45,39.79,18.25,12.5,-19.07,116.57,71.68,13070.86
392.713,-22.2,27.95,-5.43,10.52,24.33,37.65,42.09,13613.42
392.929,-41.92,31.9,30.09,30.25,-19.07,51.46,-3.29,14382.86
393.144,44.88,-13.48,28.11,-15.13,-1.32,-25.48,30.25,15507.44
393.359,88.29,93.06,36.01,85.49,44.06,53.43,6.58,16067.75
393.574,82.37,-21.37,16.28,97.33,46.04,65.27,6.58,17391.59
393.789,25.15,-43.08,51.79,38.14,40.12,-5.75,-48.67,17569.16
394.004,-12.33,-13.48,18.25,71.68,-5.26,25.81,16.44,17748.69
394.22,50.8,55.57,-36.99,55.9,-24.99,17.92,115.09,18697.67
394.435,-69.55,-33.21,-9.37,8.55,81.55,-45.21,-58.53,19234.31
394.65,3.45,-27.29,-19.24,42.09,69.71,-31.4,150.6,19303.37
394.865,1.48,51.63,14.3,59.85,111.14,90.92,55.9,20489.1
395.08,-16.28,114.76,-23.18,55.9,12.5,12,77.6,21440.05
395.295,7.4,29.92,87.3,32.22,-5.26,19.89,32.22,21755.72
395.51,76.45,22.03,69.55,87.47,-30.91,-43.24,20.39,22761.92
395.725,-20.22,20.06,-5.43,57.87,34.2,23.84,57.87,22773.76
395.94,29.1,4.27,30.09,61.82,48.01,100.78,10.52,23124.94
396.155,-53.76,8.22,-66.59,59.85,-13.15,-53.1,-54.58,23434.69
396.37,5.43,45.71,4.44,51.95,28.28,-37.32,6.58,23718.8
396.585,-43.9,49.65,89.28,122.98,59.85,-9.7,-50.64,25208.36
396.8,-8.38,79.25,32.06,14.47,-38.8,-19.56,14.47,24373.81
397.015,70.53,8.22,34.03,32.22,44.06,-1.81,-52.61,24016.71
397.23,-26.14,-72.67,49.82,14.47,-15.13,0.16,30.25,25399.74
397.445,38.97,69.38,37.98,18.41,49.98,-11.67,8.55,24460.62
397.66,58.69,4.27,-15.29,89.44,34.2,-9.7,75.63,24797.99
397.875,40.94,37.81,24.17,28.28,12.5,21.87,67.74,23659.61
398.09,96.18,-1.64,47.84,75.63,113.11,-1.81,46.04,24569.13
398.305,-0.49,22.03,-38.97,28.28,4.6,8.06,8.55,22791.52
398.519,36.99,10.19,22.2,-64.45,150.6,25.81,10.52,22357.47
398.734,35.02,55.57,0.49,46.04,111.14,-5.75,91.41,22335.77
398.949,64.61,61.49,51.79,105.22,69.71,-17.59,55.9,22387.06
399.164,33.05,-64.78,36.01,14.47,28.28,-57.05,48.01,21507.13
399.379,-22.2,57.54,0.49,10.52,-21.04,-27.46,42.09,21159.9
399.593,27.13,-54.91,10.36,67.74,-23.02,15.95,30.25,20568.02
399.808,38.97,29.92,-38.97,-7.23,-54.58,31.73,-15.13,20130.03
400.023,36.99,-33.21,34.03,65.76,26.31,-45.21,10.52,18257.71
400.238,21.21,-25.32,85.33,20.39,46.04,37.65,-17.1,18113.69
400.452,-18.25,12.17,51.79,-5.26,87.47,17.92,30.25,17237.7
400.667,90.26,-1.64,-15.29,85.49,75.63,-3.78,-54.58,17036.46
400.882,-81.38,49.65,-35.02,51.95,36.17,-15.62,38.14,16316.34
401.097,23.18,-25.32,71.52,22.36,103.25,75.14,-64.45,16272.94
401.311,-8.38,41.76,26.14,42.09,-5.26,45.54,99.3,15690.92
401.526,15.29,-50.97,2.47,57.87,-3.29,-23.51,-42.75,14664.99
401.74,11.34,-60.83,24.17,75.63,-96.02,-37.32,-56.56,13854.12
401.955,-63.63,0.33,45.87,34.2,26.31,39.62,79.58,12970.24
402.17,-6.41,-13.48,-78.42,12.5,-26.96,116.57,51.95,12597.36
402.384,36.99,39.79,-27.13,65.76,16.44,37.65,44.06,12155.42
402.599,52.78,43.73,-19.24,-44.72,26.31,-7.73,79.58,11835.8
402.813,-16.28,27.95,-62.64,22.36,38.14,59.35,28.28,11163.03
403.028,5.43,-9.54,-56.72,-17.1,-54.58,31.73,46.04,10472.51
403.243,13.32,-47.02,-38.97,65.76,42.09,17.92,44.06,10150.92
403.457,90.26,33.87,69.55,2.63,28.28,25.81,134.82,10190.38
403.672,109.99,43.73,34.03,93.39,91.41,31.73,10.52,10594.83
403.886,-26.14,-31.24,-35.02,87.47,18.41,-5.75,0.66,9856.95
404.1,-20.22,29.92,30.09,59.85,-19.07,55.41,-3.29,9298.61
404.315,42.91,10.19,8.38,140.74,-15.13,71.19,75.63,8773.81
404.529,7.4,67.41,81.38,-40.77,34.2,-86.64,34.2,8844.83
404.744,29.1,0.33,-11.34,16.44,38.14,39.62,42.09,8582.43
404.958,54.75,2.3,2.47,55.9,63.79,-7.73,-13.15,8351.6
405.173,-20.22,69.38,26.14,26.31,77.6,19.89,67.74,8316.09
405.387,-16.28,-27.29,12.33,-90.1,63.79,-23.51,-7.23,7726.18
405.601,64.61,31.9,-11.34,40.12,99.3,8.06,2.63,7635.42
405.816,42.91,-25.32,41.92,59.85,69.71,8.06,34.2,7623.59
406.03,-10.36,39.79,-42.91,36.17,-23.02,19.89,53.93,7337.51
406.244,58.69,2.3,24.17,22.36,-1.32,-57.05,-46.69,7532.83
406.459,13.32,31.9,-1.48,-28.94,16.44,23.84,-5.26,7100.76
406.673,-37.98,-1.64,-29.1,-23.02,46.04,-23.51,30.25,7193.49
406.887,-16.28,-76.62,-3.45,30.25,-64.45,0.16,81.55,7088.92
407.102,94.21,-17.43,65.6,38.14,48.01,17.92,32.22,6719.98
407.316,-51.79,24,28.11,-7.23,-17.1,6.08,-5.26,6984.36
407.53,7.4,25.98,14.3,18.41,107.2,51.46,73.66,6499.01
407.744,40.94,-5.59,4.44,36.17,-1.32,-55.08,103.25,6495.07
407.959,33.05,-31.24,49.82,63.79,-88.12,27.79,77.6,6137.97
408.173,5.43,25.98,87.3,51.95,44.06,0.16,-17.1,6183.34
408.387,35.02,37.81,-5.43,103.25,105.22,-49.16,-9.21,6122.18
408.601,56.72,-35.18,2.47,57.87,85.49,29.76,30.25,6203.07
408.815,-14.3,-70.7,-40.94,30.25,-40.77,-43.24,-9.21,5818.35
409.029,92.23,-5.59,-11.34,0.66,73.66,29.76,36.17,5847.95
409.243,-43.9,71.35,0.49,-1.32,61.82,4.11,142.71,5528.33
409.458,7.4,10.19,-19.24,20.39,-34.86,-17.59,44.06,5402.06
409.672,-18.25,-82.53,-35.02,-9.21,61.82,-1.81,36.17,5127.82
409.886,-89.28,-25.32,-1.48,12.5,34.2,2.14,20.39,5060.74
410.1,58.69,16.11,-135.64,-26.96,48.01,13.97,-15.13,4756.91
410.314,23.18,-9.54,79.41,79.58,73.66,21.87,2.63,4691.81
410.528,9.37,12.17,-9.37,-24.99,30.25,10.03,12.5,4620.78
410.742,-59.68,8.22,-1.48,8.55,38.14,57.38,-11.18,4297.22
410.956,-28.11,6.25,26.14,14.47,12.5,71.19,48.01,3979.58
411.17,23.18,18.09,-60.67,-17.1,24.33,6.08,-28.94,4241.98
411.384,-26.14,33.87,55.74,28.28,87.47,-5.75,-28.94,4103.87
411.598,5.43,-19.4,18.25,0.66,30.25,0.16,95.36,3634.31
411.812,3.45,-29.27,65.6,-26.96,22.36,-51.13,16.44,3669.82
412.026,-28.11,-29.27,47.84,-15.13,-1.32,55.41,22.36,3438.99
412.24,40.94,-35.18,67.57,75.63,-19.07,-5.75,-107.85,3563.29
412.454,7.4,-62.81,-7.4,49.98,-30.91,-82.7,26.31,3367.97
412.667,82.37,27.95,79.41,24.33,53.93,-19.56,61.82,3247.62
412.881,50.8,-11.51,-38.97,69.71,61.82,65.27,93.39,3119.38
413.095,11.34,16.11,47.84,91.41,-44.72,-7.73,83.52,3105.56
413.309,9.37,31.9,45.87,26.31,-32.88,27.79,42.09,2766.22
413.523,29.1,-25.32,24.17,-28.94,-26.96,-5.75,81.55,2774.11
413.737,-8.38,-23.35,8.38,8.55,-1.32,108.68,87.47,2624.17
413.95,3.45,-47.02,43.9,28.28,93.39,51.46,67.74,2507.77
414.164,-24.17,14.14,-35.02,81.55,-34.86,43.57,87.47,2568.93
414.378,-61.65,41.76,30.09,-1.32,2.63,13.97,49.98,2411.09
414.592,31.07,18.09,39.95,-5.26,34.2,0.16,14.47,2371.63
414.806,5.43,-9.54,59.68,79.58,-13.15,-41.27,61.82,2217.74
415.019,66.59,85.17,49.82,22.36,57.87,-17.59,130.87,2225.64
415.233,-49.82,37.81,6.41,42.09,-21.04,-41.27,26.31,2221.69
415.447,96.18,51.63,14.3,-3.29,24.33,2.14,61.82,2020.45
415.66,52.78,-11.51,67.57,-17.1,48.01,15.95,111.14,1992.83
415.874,-95.19,-13.48,-60.67,24.33,-38.8,41.6,59.85,1738.32
416.088,15.29,-25.32,79.41,12.5,-23.02,69.22,-3.29,1892.21
416.301,7.4,-41.1,53.76,22.36,4.6,6.08,26.31,1787.64
416.515,44.88,98.98,30.09,18.41,-54.58,59.35,55.9,1726.48
416.729,62.64,4.27,-1.48,75.63,-23.02,90.92,53.93,1748.19
416.942,5.43,4.27,-15.29,83.52,-26.96,12,71.68,1777.78
417.156,-10.36,61.49,-27.13,-56.56,55.9,6.08,63.79,1661.38
417.369,40.94,-13.48,22.2,16.44,30.25,33.7,121.01,1531.16
417.583,27.13,20.06,-29.1,-5.26,36.17,61.33,69.71,1550.89
417.796,76.45,51.63,69.55,-1.32,-74.31,-45.21,107.2,1539.05
418.01,42.91,39.79,0.49,42.09,14.47,69.22,77.6,1588.38
418.223,15.29,-25.32,-56.72,-11.18,-19.07,37.65,38.14,1400.95
418.437,-41.92,12.17,-111.96,51.95,-5.26,55.41,69.71,1477.89
418.65,-20.22,35.84,43.9,-9.21,85.49,45.54,83.52,1483.81
418.864,50.8,27.95,57.71,-86.15,77.6,55.41,55.9,1327.95
419.077,-63.63,77.27,63.63,-32.88,49.98,37.65,142.71,1517.35
419.291,36.99,124.62,-21.21,61.82,49.98,17.92,103.25,1294.41
419.504,90.26,-19.4,22.2,18.41,24.33,75.14,107.2,1339.79
419.718,3.45,16.11,-44.88,63.79,38.14,29.76,130.87,1268.76
419.931,-12.33,-62.81,39.95,111.14,22.36,134.32,85.49,1359.52
420.144,52.78,45.71,20.22,28.28,-3.29,41.6,73.66,1280.6
420.358,7.4,-33.21,-7.4,-38.8,59.85,118.54,188.09,1260.87
420.571,-12.33,71.35,-60.67,18.41,59.85,41.6,91.41,1187.87
420.784,94.21,6.25,71.52,-23.02,14.47,49.49,150.6,1172.09
420.998,-59.68,-41.1,91.25,87.47,-21.04,23.84,119.03,1122.76
421.211,-4.44,41.76,2.47,89.44,69.71,39.62,69.71,1158.28
421.424,9.37,53.6,32.06,32.22,30.25,98.81,142.71,1168.14
421.638,42.91,-9.54,-15.29,105.22,-40.77,75.14,103.25,1030.04
421.851,9.37,-56.89,12.33,51.95,-56.56,75.14,176.25,1033.98
